SampleName	HSF3	HSP90	HSP70	ACTA1	ACTB	HPRT1	groups
PELO9MS	26.81	18.61	18.67	15.82	24.09	26.83	PELOCO
PELO8MS	30.25	21.34	25.95	17.23	27.18	27.04	PELOCO
PELO5FS	25.77	17.92	17.01	15.94	24.79	26.00	PELOCO
PELO4MS	26.99	19.87	20.94	13.94	22.18	24.82	PELOCO
PELO3FS	26.41	17.86	16.47	14.63	23.47	25.83	PELOCO
PELO2FS	26.30	19.51	19.18	15.26	23.72	25.44	PELOCO
PELO20FC	26.72	20.21	23.12	15.09	23.26	25.51	PELOCO
PELO19FC	26.23	21.19	23.73	15.44	23.16	25.36	PELOCO
PELO18FC	26.87	22.15	23.85	15.64	23.39	25.97	PELOCO
PELO17FC	26.89	22.12	25.03	16.42	23.83	26.03	PELOCO
PELO12MC	27.53	23.08	26.35	16.84	25.52	26.57	PELOCO
PELO11MC	27.55	22.24	25.03	15.74	23.77	25.69	PELOCO
Control9FS	25.82	19.32	18.89	21.54	20.96	27.97	Control
Control8FS	25.88	19.02	18.29	13.80	21.41	24.33	Control
Control5MS	24.83	19.08	18.03	13.00	21.62	23.99	Control
Control3MS	24.85	18.61	17.47	13.17	21.52	24.27	Control
Control2MS	24.82	19.94	18.56	16.22	24.07	27.56	Control
Control20FC	28.01	21.01	20.28	13.68	20.78	23.92	Control
Control19FC	24.38	20.93	20.70	13.34	21.06	24.13	Control
Control16FC	28.79	24.96	24.97	14.53	22.26	25.20	Control
Control15MC	25.69	21.91	21.72	12.23	20.31	23.21	Control
Control14MC	23.39	20.71	19.82	15.00	21.68	25.38	Control
Control11MC	25.95	21.82	22.19	13.83	21.60	24.64	Control
Control10FS	24.71	21.37	20.52	14.28	22.78	24.89	Control
CANE9MS	24.28	18.13	18.50	14.46	22.87	25.00	CANELUDA
CANE7MS	24.82	18.92	19.49	13.98	23.35	24.94	CANELUDA
CANE6MS	29.10	19.84	23.27	16.80	26.48	25.70	CANELUDA
CANE5FS	25.45	17.93	19.91	14.97	22.74	24.89	CANELUDA
CANE4FS	26.49	19.04	18.84	15.53	24.03	25.67	CANELUDA
CANE1FS	26.13	18.08	16.62	13.91	22.35	24.66	CANELUDA
CANE19MC	23.97	19.61	20.97	12.88	20.49	23.63	CANELUDA
CANE18MC	26.22	20.98	23.97	15.31	23.01	25.15	CANELUDA
CANE16MC	26.73	21.82	24.16	16.07	23.02	25.73	CANELUDA
CANE15FC	26.08	21.32	23.19	15.70	22.82	25.60	CANELUDA
CANE13FC	25.53	20.91	23.24	14.82	22.10	24.29	CANELUDA
CANE12FC	25.41	20.45	22.70	13.85	22.37	23.97	CANELUDA
